Season,Name,ERA,K9,BB9,HR9
2015,Matt Harvey,2.71,8.94,1.76,0.86
2016,Jon Lester,2.44,8.75,2.31,0.93
2010,John Danks,3.72,6.85,2.96,0.76
2010,Mat Latos,2.92,9.21,2.44,0.78
2014,Garrett Richards,2.61,8.75,2.72,0.27
2015,Tyson Ross,3.26,9.73,3.86,0.41
2014,Zack Greinke,2.71,9.21,1.91,0.85
2010,Hiroki Kuroda,3.39,7.29,2.2,0.69
2017,Aaron Nola,3.54,9.86,2.63,0.96
2014,Cole Hamels,2.46,8.71,2.59,0.62
2010,Tim Lincecum,3.43,9.79,3.22,0.76
2013,Derek Holland,3.42,7.99,2.7,0.85
2011,Justin Masterson,3.21,6.58,2.71,0.46
2015,Cole Hamels,3.65,9.11,2.63,0.93
2010,Chad Billingsley,3.57,8.03,3.24,0.38
2013,A.J. Burnett,3.3,9.85,3.16,0.52
2013,Doug Fister,3.67,6.86,1.9,0.6
2012,James Shields,3.52,8.82,2.29,0.99
2010,David Price,2.72,8.11,3.41,0.65
2012,Adam Wainwright,3.94,8.34,2.36,0.68
2012,Wade Miley,3.33,6.66,1.71,0.65
2013,Homer Bailey,3.49,8.57,2.33,0.86
2017,Justin Verlander,3.36,9.57,3.15,1.18
2010,Gavin Floyd,4.08,7.25,2.79,0.67
2010,Tommy Hanson,3.33,7.68,2.49,0.62
2014,Jeff Samardzija,2.99,8.28,1.76,0.82
2010,C.J. Wilson,3.35,7.5,4.1,0.44
2013,Jose Fernandez,2.19,9.75,3.02,0.52
2011,Tim Lincecum,2.74,9.12,3.57,0.62
2014,Madison Bumgarner,2.98,9.07,1.78,0.87
2013,James Shields,3.15,7.71,2.68,0.79
2015,Johnny Cueto,3.44,7.47,1.95,0.89
2010,Matt Cain,3.14,7.13,2.46,0.89
2010,Brett Myers,3.14,7.24,2.66,0.8
2017,Jose Quintana,4.15,9.87,2.91,1.1
2011,Zack Greinke,3.83,10.54,2.36,1
2010,Anibal Sanchez,3.55,7.25,3.23,0.46
2013,Jhoulys Chacin,3.47,5.75,2.78,0.5
2013,Hisashi Iwakuma,2.66,7.58,1.72,1.02
2010,Dan Haren,3.91,8.27,2.07,1.19
2016,Aaron Sanchez,3,7.55,2.95,0.7
2013,Bartolo Colon,2.65,5.53,1.37,0.66
2010,Mark Buehrle,4.28,4.24,2.1,0.73
2013,Madison Bumgarner,2.77,8.9,2.77,0.67
2011,Mat Latos,3.47,8.57,2.87,0.74
2016,Jake Arrieta,3.1,8.67,3.47,0.73
