Season,Name,ERA,K9,BB9,HR9
2014,R.A. Dickey,3.71,7.22,3.09,1.09
2014,Jason Hammel,3.47,8.06,2.25,1.17
2013,R.A. Dickey,4.21,7.09,2.84,1.4
2012,Bud Norris,4.65,8.82,3.53,1.23
2012,Bruce Chen,5.07,6.57,2.21,1.55
2015,Brett Anderson,3.69,5.79,2.3,0.9
2013,Miguel Gonzalez,3.78,6.3,2.78,1.26
2015,Mike Leake,3.7,5.58,2.3,1.03
2017,R.A. Dickey,4.26,6.44,3.17,1.23
2011,Brett Myers,4.46,6.67,2.37,1.29
2017,Jason Vargas,4.16,6.71,2.91,1.35
2014,Tom Koehler,3.81,7.2,3.34,0.75
2015,John Danks,4.71,6.28,2.84,1.22
2014,Jake Peavy,3.73,7.02,2.8,1.02
2016,Ian Kennedy,3.68,8.46,3.04,1.52
2014,Wade Miley,4.34,8.18,3.35,1.03
2015,Rick Porcello,4.92,7.8,1.99,1.31
2017,Luis Perdomo,4.67,6.49,3.57,0.93
2013,Dan Haren,4.67,8.01,1.64,1.49
2014,Jorge de la Rosa,4.1,6.79,3.27,1.03
2014,Clay Buchholz,5.34,6.97,2.85,0.9
2011,Josh Tomlin,4.25,4.84,1.14,1.31
2014,A.J. Burnett,4.59,8,4.04,0.84
2010,Paul Maholm,5.1,4.95,3.01,0.73
2012,Ross Detwiler,3.4,5.75,2.85,0.82
2016,Wade Miley,5.37,7.43,2.66,1.36
2014,Jered Weaver,3.59,7.13,2.74,1.14
2012,Mark Buehrle,3.74,5.56,1.78,1.16
2013,Jeremy Hellickson,5.17,6.98,2.59,1.24
2012,Edinson Volquez,4.14,8.57,5.17,0.69
2010,Kyle Davies,5.34,6.17,3.92,0.98
2013,Matt Cain,4,7.71,2.69,1.12
2011,Mike Leake,3.86,6.33,2.04,1.23
2016,Jason Hammel,3.83,7.78,2.86,1.35
2012,Ivan Nova,5.02,8.08,2.96,1.48
2012,Luis Mendoza,4.23,5.64,3.2,0.81
2011,Tim Stauffer,3.73,6.2,2.57,0.97
2014,Doug Fister,2.41,5.38,1.32,0.99
2013,Wily Peralta,4.37,6.33,3.58,0.93
2014,Dan Haren,4.02,7.02,1.74,1.31
2014,Bud Norris,3.65,7.57,2.83,1.09
2016,Edinson Volquez,5.37,6.61,3.61,1.09
2014,Scott Feldman,3.74,5.34,2.5,0.8
2015,Chris Heston,3.95,7.14,3.24,0.81
2012,Mike Leake,4.58,5.83,2.06,1.31
2010,A.J. Burnett,5.26,6.99,3.76,1.21
2014,Ryan Vogelsong,4,7.36,2.83,0.88
2013,A.J. Griffin,3.82,7.69,2.43,1.62
2014,Roenis Elias,3.85,7.86,3.52,0.88
2016,Yordano Ventura,4.45,6.97,3.77,1.11
2017,Lance Lynn,3.43,7.39,3.77,1.3
2010,Kevin Millwood,5.1,6.23,3.07,1.42
2012,James McDonald,4.21,7.95,3.63,1.11
2014,Alfredo Simon,3.44,5.82,2.57,1.01
2012,Derek Holland,4.67,7.44,2.67,1.64
2013,Jeff Locke,3.52,6.76,4.55,0.6
2010,Jeff Niemann,4.39,6.76,3.15,1.29
2017,Ty Blach,4.78,4.01,2.36,0.93
2011,John Lannan,3.7,5.17,3.7,0.73
2013,Jarrod Parker,3.97,6.12,2.88,1.14
2010,Joe Saunders,4.47,5.05,2.83,1.11
2011,Aaron Harang,3.64,6.54,3.06,1.05
2012,Mike Minor,4.12,7.28,2.81,1.3
2013,Kevin Correia,4.18,4.9,2.19,1.17
2013,Bronson Arroyo,3.79,5.52,1.51,1.43
2015,CC Sabathia,4.73,7.37,2.69,1.51
2012,Jeremy Hellickson,3.1,6.31,3,1.27
2016,Jaime Garcia,4.67,7.86,2.99,1.36
2010,Chris Volstad,4.58,5.25,3.09,0.87
2012,Jason Vargas,3.85,5.84,2.28,1.45
2016,Doug Fister,4.64,5.74,3.09,1.2
2016,Tom Koehler,4.33,7.49,4.23,1.12
2012,Luke Hochevar,5.73,6.99,2.96,1.31
2015,Alfredo Simon,5.05,5.63,3.27,1.16
2011,Wade Davis,4.45,5.14,3.08,1.13
2017,Julio Teheran,4.49,7.22,3.44,1.48
2015,Julio Teheran,4.04,7.67,3.27,1.21
2010,Jon Garland,3.47,6.12,3.92,0.9
2016,Dan Straily,3.76,7.62,3.43,1.46
2014,Travis Wood,5.03,7.57,3.94,1.04
2014,Jeremy Guthrie,4.13,5.51,2.18,1.02
2014,Colby Lewis,5.18,7.03,2.54,1.32
2015,James Shields,3.91,9.61,3.6,1.47
2011,A.J. Burnett,5.15,8.18,3.92,1.47
2012,Tim Lincecum,5.18,9.19,4.35,1.11
2017,Matt Moore,5.52,7.64,3.46,1.39
2016,R.A. Dickey,4.46,6.68,3.34,1.49
2010,Wade Davis,4.07,6.05,3.32,1.29
2016,Josh Tomlin,4.4,6.1,1.03,1.86
2014,Edinson Volquez,3.04,6.54,3.32,0.79
2011,Jake Westbrook,4.66,5.11,3.58,0.79
2015,Dan Haren,3.6,6.34,1.83,1.49
2015,Aaron Harang,4.86,5.64,2.66,1.36
2011,Roberto Hernandez,5.25,5.2,2.86,1.05
2011,Mike Pelfrey,4.74,4.88,3.02,0.98
2012,Barry Zito,4.15,5.57,3.42,0.98
2011,Jason Hammel,4.76,4.97,3.59,1.11
2014,Kyle Kendrick,4.61,5.47,2.58,1.13
2015,Jon Niese,4.13,5.76,2.8,1.02
2013,Edinson Volquez,5.71,7.5,4.07,1
2010,Randy Wolf,4.17,5.93,3.63,1.21
2011,Jeff Karstens,3.38,5.32,1.83,1.22
2015,Hector Santiago,3.59,8.07,3.54,1.44
2012,Clay Buchholz,4.56,6.13,3.04,1.19
2016,Jimmy Nelson,4.62,7.03,4.32,1.25
2017,Ricky Nolasco,4.92,7.11,2.88,1.74
2011,Chris Volstad,4.89,6.36,2.66,1.25
2015,Ian Kennedy,4.28,9.3,2.78,1.66
2010,Jeremy Bonderman,5.47,5.89,3.16,1.32
2014,C.J. Wilson,4.51,7.74,4.35,0.87
2012,Tommy Hanson,4.48,8.3,3.66,1.39
2015,Tom Koehler,4.08,6.58,3.7,1.06
2013,Ian Kennedy,4.91,8.09,3.62,1.34
2010,Brad Bergesen,4.98,4.29,2.7,1.38
2012,Jeremy Guthrie,4.76,5,2.48,1.49
2014,Shelby Miller,3.74,6.25,3.59,1.08
2012,Kevin Correia,4.21,4.68,2.42,1.05
2011,Joe Saunders,3.69,4.58,2.84,1.23
2016,Hector Santiago,4.7,7.12,3.91,1.63
2013,Ryan Dempster,4.57,8.25,4.15,1.37
2016,Francisco Liriano,4.69,9.28,4.69,1.44
2013,Jeremy Guthrie,4.04,4.72,2.51,1.28
2017,John Lackey,4.59,7.86,2.79,1.9
2014,John Danks,4.74,5.99,3.44,1.16
2015,Rubby de la Rosa,4.67,7.16,3.01,1.53
2012,Ubaldo Jimenez,5.4,7.28,4.84,1.27
2010,Kyle Kendrick,4.73,4.18,2.44,1.3
2012,Clayton Richard,3.99,4.4,1.73,1.28
2011,James McDonald,4.21,7.47,4.11,1.26
2012,Ricky Romero,5.77,6.17,5.22,1.04
2016,Brandon Finnegan,3.98,7.59,4.4,1.52
2012,Henderson Alvarez,4.85,3.8,2.59,1.39
2013,Joe Saunders,5.26,5.26,3,1.23
2014,Hector Noesi,4.75,6.42,2.92,1.46
2017,Jose Urena,3.82,5.99,3.39,1.38
2010,Dave Bush,4.54,5.52,3.36,1.45
2017,Jeremy Hellickson,5.43,5.27,2.58,1.92
2011,Brad Penny,5.3,3.67,3.07,1.19
2013,Jerome Williams,4.57,5.69,2.92,1.22
2014,Chris Young,3.65,5.89,3.27,1.42
2010,Rodrigo Lopez,5,5.22,2.52,1.67
2014,Eric Stults,4.3,5.68,2.3,1.33
2014,Roberto Hernandez,4.1,5.74,3.99,1.04
2016,Jered Weaver,5.06,5.21,2.58,1.87
2012,Ervin Santana,5.16,6.72,3.08,1.97
2016,James Shields,5.85,6.69,4.06,1.98
2011,Bronson Arroyo,5.07,4.88,2.04,2.08
